		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
		3rd Ave & Broad St	 2nd Ave & Vine St	 6th Ave & Blanchard St	 2nd Ave & Blanchard St	 3rd Ave & Pike St	 7th Ave & Pine St	 City Hall / 4th Ave & James St	 Westlake Ave & 6th Ave.	 Benaroya Hall / 2nd Ave & University St	Summit Ave & E Denny Way	 E Harrison St & Broadway Ave E	Summit Ave E & E Republican St	 15th Ave E & E Thomas St	 12th Ave & E Denny Way	 E Pine St & 16th Ave	 Cal Anderson Park / 11th Ave & Pine St	 Harvard Ave & E Pine St	 Bellevue Ave & E Pine St	12th Ave & E Mercer St	 9th Ave N & Mercer St	 Childrens Hospital / Sandpoint Way NE & 40th Ave NE	Fred Hutchinson Cancer Research Center / Fairview Ave N & Aloha St	 E Blaine St & Fairview Ave E	Eastlake Ave E & E Allison St	 Frye Art Museum / Terry Ave & Columbia St	Seattle University / E Columbia St & 12th Ave	 6th Ave S & S King St	King Street Station Plaza / 2nd Ave Extension S & S Jackson St	 Occidental Park / Occidental Ave S & S Washington St	 REI / Yale Ave N & John St	 Dexter Ave N & Aloha St	 Republican St & Westlake Ave N	PATH / 9th Ave & Westlake Ave	McGraw Square / Westlake Ave & 6th Ave	 Lake Union Park / Valley St & Boren Ave N	 Dexter Ave & Denny Way	Key Arena / 1st Ave N & Harrison St False	Burke-Gilman Trail / NE Blakely St & 24th Ave NE	NE 43rd St & University Way NE	 12th Ave & NE Campus Pkwy	 NE 47th St & 12th Ave NE	UW McCarty Hall / Whitman Ct	Burke Museum / W Stevens Way NE & Memorial Way NE	 15th Ave NE & NE 40th St	 UW Engineering Library / W Stevens Way NE & Jefferson Rd	UW Intramural Activities Building	 UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd	 Pier 69 / Alaskan Way & Clay St	 Seattle Aquarium / Alaskan Way S & Elliott Bay Trail	 1st Ave & Marion St
1	3rd Ave & Broad St		1	6	4	7	8	14	10	7	16	20	18	23	19	21	17	16	13	22	10	48	15	18	25	12	16	18	18	16	10	8	6	5	7	9	4	4	37	33	29	33	38	37	34	36	39	36	7	11	10
2	 2nd Ave & Vine St	1		5	2	5	9	12	8	5	14	18	15	21	17	19	15	14	11	20	9	48	14	17	24	11	15	18	14	13	9	8	7	5	6	9	4	5	38	34	29	32	37	37	33	35	38	35	7	10	8
3	 6th Ave & Blanchard St	6	5		4	7	4	13	7	7	12	16	15	19	16	18	14	12	10	18	5	43	10	13	20	7	11	15	15	13	5	5	3	2	3	6	1	9	35	30	25	32	33	32	29	31	34	31	11	9	9
4	 2nd Ave & Blanchard St	4	2	4		6	6	9	7	3	13	16	14	20	16	18	14	13	10	19	8	46	12	16	23	10	14	16	16	14	8	7	5	4	5	8	3	7	37	32	27	30	35	35	32	34	36	34	8	8	5
5	 3rd Ave & Pike St	7	5	7	6		3	6	6	1	10	15	13	18	14	16	12	11	8	17	11	49	16	19	26	4	9	11	9	8	9	10	9	7	4	11	6	11	40	35	31	34	39	38	35	37	40	37	9	8	3
6	 7th Ave & Pine St	8	9	4	6	3		7	2	3	7	11	10	14	11	12	9	7	5	13	7	46	12	15	22	5	8	13	13	11	7	8	6	4	1	8	4	11	37	33	27	34	35	35	32	33	36	33	12	11	6
7	 City Hall / 4th Ave & James St	14	12	13	9	6	7		10	5	15	19	17	22	19	20	17	15	12	21	17	56	22	25	32	5	11	5	5	4	13	15	13	11	8	15	11	16	44	39	37	40	45	45	42	43	46	43	15	10	4
8	 Westlake Ave & 6th Ave.	10	8	7	7	6	2	10		7	5	9	7	12	9	10	7	5	3	11	9	40	14	16	19	6	7	16	15	14	6	8	6	4	1	8	4	11	37	24	24	27	28	28	25	36	30	28	14	13	6
9	 Benaroya Hall / 2nd Ave & University St	7	5	7	3	1	3	5	7		12	16	14	19	16	17	14	12	9	18	11	49	16	19	26	5	12	10	8	6	10	11	10	8	5	12	7	10	41	36	31	34	39	38	35	37	40	37	10	6	2
